held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1,auc,pauc,cov_condition_number,config_name,model_hash,d_state,n_layers,expand,selective,discretization,flash_footprint_int8_kb,streaming_peak_ram_int8_kb,streaming_peak_ram_fp32_kb,head_flash_fp32_kb,total_flash_kb,flags_nothing,flags_everything,degenerate
1,mean,knn_clustered_16,iqr,1.686483460002347,1.0,0.5643939393939394,0.7821969696969697,0.7215496368038741,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_95.0,1.2222094233839105,0.9467213114754098,0.875,0.9128787878787878,0.9094488188976378,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.0,1.3163987042674652,0.9911894273127754,0.8522727272727273,0.9223484848484848,0.9164969450101832,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.5,1.3452544750430662,1.0,0.8409090909090909,0.9204545454545454,0.9135802469135802,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,evt_p95_equiv,1.2239918048186953,0.9467213114754098,0.875,0.9128787878787878,0.9094488188976378,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,parametric_p95_equiv,1.240406475399897,0.9665271966527196,0.875,0.9223484848484848,0.9184890656063618,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,kde_p95_equiv,1.2342251805710016,0.9625,0.875,0.9204545454545454,0.9166666666666666,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,evt_p99_equiv,1.3039611532411624,0.991304347826087,0.8636363636363636,0.928030303030303,0.9230769230769232,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,parametric_p99_equiv,1.2957895106907074,0.9913419913419912,0.8674242424242424,0.9299242424242424,0.9252525252525252,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,kde_p99_equiv,1.322353243873007,0.991150442477876,0.8484848484848485,0.9204545454545454,0.9142857142857144,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,evt_p999_equiv,1.4142057578266836,1.0,0.7765151515151515,0.8882575757575758,0.8742004264392325,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,parametric_p999_equiv,1.3502769680475408,1.0,0.8371212121212122,0.918560606060606,0.911340206185567,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,kde_p999_equiv,1.4087240044587772,1.0,0.7840909090909091,0.8920454545454546,0.8789808917197452,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,mad,1.431807755239368,1.0,0.7651515151515151,0.8825757575757576,0.8669527896995708,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,iqr,1.5490915630862137,1.0,0.6590909090909091,0.8295454545454546,0.7945205479452054,0.9110135445362716,0.9334855734377264,,507a1353607f.yaml,34658236f97d,32,4,2,False,zoh,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_95.0,1.8449653740896488,0.9082125603864736,0.7121212121212122,0.8200757575757576,0.7983014861995754,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.0,1.9049635927544235,0.9836065573770492,0.6818181818181818,0.8352272727272727,0.8053691275167785,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,perentile_same_machie_99.5,1.9368647595259056,1.0,0.678030303030303,0.8390151515151515,0.8081264108352144,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,evt_p95_equiv,1.843960867638741,0.8995215311004785,0.7121212121212122,0.8162878787878788,0.7949260042283298,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,parametric_p95_equiv,1.8599780251497693,0.925,0.7007575757575758,0.821969696969697,0.7974137931034483,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,kde_p95_equiv,1.865276054770508,0.925,0.7007575757575758,0.821969696969697,0.7974137931034483,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,evt_p99_equiv,1.903581731439859,0.9782608695652174,0.6818181818181818,0.8333333333333334,0.8035714285714286,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,parametric_p99_equiv,1.92055149142503,0.994475138121547,0.6818181818181818,0.8390151515151515,0.8089887640449438,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,kde_p99_equiv,1.934634360424344,1.0,0.678030303030303,0.8390151515151515,0.8081264108352144,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,evt_p999_equiv,2.00449025973696,1.0,0.6136363636363636,0.8068181818181818,0.7605633802816901,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,parametric_p999_equiv,1.979475973618884,1.0,0.6363636363636364,0.8181818181818182,0.7777777777777778,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,kde_p999_equiv,2.018799606587504,1.0,0.6098484848484849,0.8049242424242424,0.7576470588235295,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
1,mean,knn_clustered_16,mad,2.0276641857755626,1.0,0.6098484848484849,0.8049242424242424,0.7576470588235295,0.7968176078971533,0.8414165579237349,,ae0a0e4e978e.yaml,86d08e302712,32,4,2,False,euler,116.0625,34.0,136.0,4.0,120.0625,False,False,False
