held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
1,max,knn_full,perentile_same_machie_99.0,4.200586379799448,0.8974358974358975,0.13257575757575757,0.5587121212121212,0.23102310231023102
1,max,knn_full,perentile_same_machie_99.5,7.6137258084745065,0.8,0.030303030303030304,0.5113636363636364,0.058394160583941604
1,max,knn_full,evt_p95_equiv,3.307931106046484,0.8770053475935828,0.6212121212121212,0.7670454545454546,0.7272727272727273
1,max,knn_full,parametric_p95_equiv,3.575443337939253,0.9457364341085271,0.4621212121212121,0.7178030303030303,0.6208651399491094
1,max,knn_full,kde_p95_equiv,3.3731389997776398,0.8988095238095238,0.571969696969697,0.7537878787878788,0.6990740740740741
1,max,knn_full,evt_p99_equiv,4.127892035513753,0.9024390243902439,0.14015151515151514,0.5625,0.24262295081967214
1,max,knn_full,parametric_p99_equiv,3.8962011497301723,0.9420289855072463,0.24621212121212122,0.615530303030303,0.39039039039039036
1,max,knn_full,kde_p99_equiv,7.074432901475568,0.8,0.045454545454545456,0.5170454545454546,0.08602150537634409
1,max,knn_full,evt_p999_equiv,13.740961874986555,0.0,0.0,0.5,0.0
1,max,knn_full,parametric_p999_equiv,4.2900629217373805,0.8823529411764706,0.11363636363636363,0.5492424242424242,0.20134228187919462
1,max,knn_full,kde_p999_equiv,8.18057073950669,1.0,0.011363636363636364,0.5056818181818182,0.02247191011235955
1,max,knn_full,mad,3.655157619977543,0.9482758620689655,0.4166666666666667,0.696969696969697,0.5789473684210527
1,max,knn_full,iqr,3.9557629732793087,0.9333333333333333,0.21212121212121213,0.5984848484848485,0.345679012345679
1,max,knn_clustered_16,perentile_same_machie_95.0,3.4283316688554417,0.8863636363636364,0.5909090909090909,0.7575757575757576,0.7090909090909091
1,max,knn_clustered_16,perentile_same_machie_99.0,3.6244856677259536,0.9558823529411765,0.49242424242424243,0.7348484848484849,0.65
1,max,knn_clustered_16,perentile_same_machie_99.5,3.7271185260693396,0.9583333333333334,0.4356060606060606,0.7083333333333334,0.5989583333333334
1,max,knn_clustered_16,evt_p95_equiv,3.4162851749915153,0.8770949720670391,0.5946969696969697,0.7556818181818182,0.708803611738149
1,max,knn_clustered_16,parametric_p95_equiv,3.441786276379029,0.8914285714285715,0.5909090909090909,0.759469696969697,0.7107061503416856
1,max,knn_clustered_16,kde_p95_equiv,3.4397982519836554,0.8914285714285715,0.5909090909090909,0.759469696969697,0.7107061503416856
1,max,knn_clustered_16,evt_p99_equiv,3.686174708087081,0.9606299212598425,0.4621212121212121,0.7215909090909091,0.6240409207161125
1,max,knn_clustered_16,parametric_p99_equiv,3.663719161100889,0.9624060150375939,0.48484848484848486,0.7329545454545454,0.6448362720403022
1,max,knn_clustered_16,kde_p99_equiv,3.6602915964123546,0.9624060150375939,0.48484848484848486,0.7329545454545454,0.6448362720403022
1,max,knn_clustered_16,evt_p999_equiv,4.130719823647324,1.0,0.16287878787878787,0.5814393939393939,0.28013029315960913
1,max,knn_clustered_16,parametric_p999_equiv,3.9171189988038018,1.0,0.2840909090909091,0.6420454545454546,0.4424778761061947
1,max,knn_clustered_16,kde_p999_equiv,4.395228643149404,1.0,0.07954545454545454,0.5397727272727273,0.14736842105263157
1,max,knn_clustered_16,mad,3.9013861096028633,1.0,0.30303030303030304,0.6515151515151515,0.46511627906976744
1,max,knn_clustered_16,iqr,4.265796001045897,1.0,0.10984848484848485,0.5549242424242424,0.19795221843003413
1,concat_mean_last,euclidean,perentile_same_machie_95.0,2.7944915294647217,0.9431818181818182,0.6287878787878788,0.7954545454545454,0.7545454545454545
1,concat_mean_last,euclidean,perentile_same_machie_99.0,4.006417751312256,0.9402985074626866,0.23863636363636365,0.6117424242424242,0.3806646525679758
1,concat_mean_last,euclidean,perentile_same_machie_99.5,8.869114875793457,0.7142857142857143,0.01893939393939394,0.5056818181818182,0.03690036900369004
1,concat_mean_last,euclidean,evt_p95_equiv,2.790940881989807,0.9378531073446328,0.6287878787878788,0.7935606060606061,0.7528344671201814
1,concat_mean_last,euclidean,parametric_p95_equiv,3.0290242146838873,0.9733333333333334,0.553030303030303,0.7689393939393939,0.7053140096618358
1,concat_mean_last,euclidean,kde_p95_equiv,2.851905437921398,0.9523809523809523,0.6060606060606061,0.7878787878787878,0.7407407407407407
1,concat_mean_last,euclidean,evt_p99_equiv,3.65381037093599,0.9534883720930233,0.3106060606060606,0.6477272727272727,0.4685714285714286
1,concat_mean_last,euclidean,parametric_p99_equiv,3.396765876604986,0.9642857142857143,0.4090909090909091,0.696969696969697,0.574468085106383
1,concat_mean_last,euclidean,kde_p99_equiv,8.058570603043078,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,concat_mean_last,euclidean,evt_p999_equiv,13.67423924575806,0.0,0.0,0.5,0.0
1,concat_mean_last,euclidean,parametric_p999_equiv,3.8622878090355393,0.9411764705882353,0.24242424242424243,0.6136363636363636,0.3855421686746988
1,concat_mean_last,euclidean,kde_p999_equiv,9.093120878963516,0.0,0.0,0.5,0.0
1,concat_mean_last,euclidean,mad,3.021578788757324,0.9735099337748344,0.5568181818181818,0.7708333333333334,0.708433734939759
1,concat_mean_last,euclidean,iqr,3.3073365688323975,0.9682539682539683,0.4621212121212121,0.7234848484848485,0.6256410256410256
1,concat_mean_last,mahalanobis,perentile_same_machie_95.0,55.96083897868077,0.945054945054945,0.6515151515151515,0.8068181818181818,0.7713004484304933
1,concat_mean_last,mahalanobis,perentile_same_machie_99.0,72.62836856149406,0.9807692307692307,0.38636363636363635,0.6893939393939394,0.5543478260869565
1,concat_mean_last,mahalanobis,perentile_same_machie_99.5,90.44483479547326,0.9827586206896551,0.2159090909090909,0.6060606060606061,0.35403726708074534
1,concat_mean_last,mahalanobis,evt_p95_equiv,55.91874544964603,0.945054945054945,0.6515151515151515,0.8068181818181818,0.7713004484304933
1,concat_mean_last,mahalanobis,parametric_p95_equiv,58.06478152231037,0.9700598802395209,0.6136363636363636,0.7973484848484849,0.7517401392111369
1,concat_mean_last,mahalanobis,kde_p95_equiv,56.32014469477071,0.9550561797752809,0.6439393939393939,0.8068181818181818,0.7692307692307693
1,concat_mean_last,mahalanobis,evt_p99_equiv,70.78457488828604,0.9727272727272728,0.4053030303030303,0.696969696969697,0.5721925133689839
1,concat_mean_last,mahalanobis,parametric_p99_equiv,63.290331422143346,0.9798657718120806,0.553030303030303,0.7708333333333334,0.7070217917675545
